No.;Time;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
1;0;;0;0,027681;0,027681;;0,020848;0,006833;-0,014015
2;0,027681;;0,027681;0,034514;0,006833;;0,006833;-0,000258;-0,007091
3;0,034514;;0,034514;0,034514;0;;-0,000258;-0,025868;-0,02561
4;0,034514;;0,034514;0,034772;0,000258;;-0,025868;0,001915;0,027783
5;0,034772;;0,034772;0,060898;0,026126;;0,001915;-0,911242;-0,913157
6;0,060898;;0,060898;0,085109;0,024211;;-0,911242;0,932919;1,844161
7;0,085109;;0,085109;1,020562;0,935453;;0,932919;-0,004544;-0,937463
8;1,020562;;1,020562;1,023096;0,002534;;-0,004544;0,005733;0,010277
9;1,023096;;1,023096;1,030174;0,007078;;0,005733;-0,013445;-0,019178
10;1,030174;;1,030174;1,031519;0,001345;;-0,013445;0,013865;0,02731
11;1,031519;;1,031519;1,046309;0,01479;;0,013865;0,000719;-0,013146
12;1,046309;;1,046309;1,047234;0,000925;;0,000719;0,000153;-0,000566
13;1,047234;;1,047234;1,04744;0,000206;;0,000153;-0,007099;-0,007252
14;1,04744;;1,04744;1,047493;5,3E-05;;-0,007099;0,006906;0,014005
15;1,047493;;1,047493;1,054645;0,007152;;0,006906;0,000103;-0,006803
16;1,054645;;1,054645;1,054891;0,000246;;0,000103;-0,017369;-0,017472
17;1,054891;;1,054891;1,055034;0,000143;;-0,017369;0,017512;0,034881
18;1,055034;;1,055034;1,072546;0,017512;;0,017512;-1E-06;-0,017513
19;1,072546;;1,072546;1,072546;0;;-1E-06;-2,22045E-16;1E-06
20;1,072546;;1,072546;1,072547;1E-06;;-2,22045E-16;-6,6E-05;-6,6E-05
21;1,072547;;1,072547;1,072548;1E-06;;-6,6E-05;-0,000323;-0,000257
22;1,072548;;1,072548;1,072615;6,7E-05;;-0,000323;0,000309;0,000632
23;1,072615;;1,072615;1,073005;0,00039;;0,000309;4E-06;-0,000305
24;1,073005;;1,073005;1,073086;8,1E-05;;4E-06;-0,003456;-0,00346
25;1,073086;;1,073086;1,073163;7,7E-05;;-0,003456;0,003477;0,006933
26;1,073163;;1,073163;1,076696;0,003533;;0,003477;-0,000188;-0,003665
27;1,076696;;1,076696;1,076752;5,6E-05;;-0,000188;-0,003503;-0,003315
28;1,076752;;1,076752;1,076996;0,000244;;-0,003503;-0,012992;-0,009489
29;1,076996;;1,076996;1,080743;0,003747;;-0,012992;0,016522;0,029514
30;1,080743;;1,080743;1,097482;0,016739;;0,016522;-0,003476;-0,019998
31;1,097482;;1,097482;1,097699;0,000217;;-0,003476;-0,000858;0,002618
32;1,097699;;1,097699;1,101392;0,003693;;-0,000858;-0,770557;-0,769699
33;1,101392;;1,101392;1,105943;0,004551;;-0,770557;0,774084;1,544641
34;1,105943;;1,105943;1,881051;0,775108;;0,774084;-0,017913;-0,791997
35;1,881051;;1,881051;1,882075;0,001024;;-0,017913;0,01333;0,031243
36;1,882075;;1,882075;1,901012;0,018937;;0,01333;0,005605;-0,007725
37;1,901012;;1,901012;1,906619;0,005607;;0,005605;1E-06;-0,005604
38;1,906619;;1,906619;1,906621;2E-06;;1E-06;-0,00471;-0,004711
39;1,906621;;1,906621;1,906622;1E-06;;-0,00471;0,003701;0,008411
40;1,906622;;1,906622;1,911333;0,004711;;0,003701;0,000872;-0,002829
41;1,911333;;1,911333;1,912343;0,00101;;0,000872;2,9E-05;-0,000843
42;1,912343;;1,912343;1,912481;0,000138;;2,9E-05;-0,00198;-0,002009
43;1,912481;;1,912481;1,91259;0,000109;;-0,00198;-0,000405;0,001575
